18.74,59.21,1018.3,91.55,449.77
14.81,43.69,1017.19,71.9,470.71
23.1,51.3,1011.93,80.05,452.17
10.72,41.38,1021.6,63.77,478.29
29.46,71.94,1006.96,62.26,428.54
8.1,40.64,1020.66,89.04,478.27
27.29,62.66,1007.63,58.02,439.58
17.1,49.69,1005.53,81.82,457.32
11.49,44.2,1018.79,91.14,475.51
23.69,65.59,1010.85,88.92,439.66
13.51,40.89,1011.03,84.83,471.99
9.64,39.35,1015.1,91.76,479.81
25.65,78.92,1010.83,86.56,434.78
21.59,61.87,1011.18,57.21,446.58
27.98,58.33,1013.92,54.25,437.76
18.8,39.72,1001.24,63.8,459.36
18.28,44.71,1016.99,33.71,462.28
13.55,43.48,1016.08,67.25,464.33
22.99,46.21,1010.71,60.11,444.36
23.94,59.39,1014.32,74.55,438.64
